seq,seqn,word,phonetic,exchange,trans
114,114/1083,include,英[in'klu:d],,v.包含;包括
115,115/1083,protect,英[prә'tekt],,v.保护;保卫
116,116/1083,compare,英[kәm'pєә],,v.比较;对照
117,117/1083,avoid,英[ә'vɒid],,v.避开;预防
118,118/1083,express,英[ik'spres],,v.表达n.快车;特快专递
119,119/1083,suppose,英[sә'pәuz],,v.猜想;假定
120,120/1083,weigh,英[wei],,v.称•的重量;权衡
121,121/1083,hate,英[heit],,v.仇恨;厌恶n.憎恨
122,122/1083,attend,英[ә'tend],,v.出席;参加
123,123/1083,touch,英[tʌtʃ],,v.触摸;触动
124,124/1083,communicate,英[kә'mju:nikeit],,v.通讯;传达;交流
125,125/1083,create,英[kri:'eit],,v.创造;创作
126,126/1083,break,英[breik],(broke;broken),v.打破n.破裂;中间休息
127,127/1083,order,英['ɒ:dә],,v.定购;点菜n.顺序
128,128/1083,discover,英[dis'kʌvә],,v.发现;发觉
129,129/1083,pronounce,英[prә'nauns],,v.发音;做出判断
130,130/1083,develop,英[di'velәp],,v.发展;开发
131,131/1083,translate,英[træns'leit],,v.翻译;解释
132,132/1083,share,英[ʃєә],,v.分享;分担
133,133/1083,catch,英['kætʃ],(caught;caught),v.赶上;接住
134,134/1083,encourage,英[in'kʌridʒ],,v.鼓励;激励
135,135/1083,cheer,英[tʃiә],,v.欢呼;为……喝彩
136,136/1083,review,英[ri'vju:],,v.回顾;复习n.评论
137,137/1083,check,英[tʃek],,v.检查n.支票
138,138/1083,suggest,英[sәg'dʒest],,v.建议;提议
139,139/1083,explain,英[ik'splein],,v.解释;说明
140,140/1083,enter,英['entər],,v.进入;参加
141,141/1083,pass,英[pæs],,v.经过;通过
142,142/1083,warn,英[wɒ:n],,.警告;通知
143,143/1083,save,英[seiv],,v.救助;节省
144,144/1083,consider,英[kәn'sidŋ],,v.考虑;认为
145,145/1083,connect,英[kә'nekt],,v.连接;联结
146,146/1083,remain,英[ri'mein],,v.留下;保持
147,147/1083,afford,英[ә'fɒ:d],,v.买得起;提供
148,148/1083,satisfy,英['sætisfai],,v.满足;满意
149,149/1083,describe,英[di'skraib],,v.描写;叙述
150,150/1083,spell,英[spel],(spelled;spelled/spelt;spelt),v.拼写;拼读
151,151/1083,force,英[fɒ:s],,v.强迫n.武力
152,152/1083,achieve,英[ә'tʃi:v],,实现:
153,153/1083,cancel,英['kænsәl],,v.取消;抵消
154,154/1083,produce,英[prә'dju:s],,v.生产;制造
155,155/1083,surprise,英[sә'praiz],,v.使惊奇n.吃惊
156,156/1083,trouble,英['trʌbl],,v.使苦恼n.烦恼;困难
157,157/1083,raise,英[reiz],,v.提起;举起;升高
158,158/1083,collect,英[kә'lekt],,收集;收藏
159,159/1083,discuss,英[dis'kʌs],,v.讨论;论述
160,160/1083,provide,英[prә'vaid],,提供;供给
161,161/1083,advise,英[әd'vaiz],,v.劝告;提建议
162,162/1083,steal,英[sti:l],(stole;stolen),v.偷;窃取
163,163/1083,guess,英[ges],,v.推测;猜测
164,164/1083,hold,英[hәuld],(held;hcld),v.拿住;保存;同意
165,165/1083,tie,英[tai],,.系;扎n.领带
166,166/1083,trust,英[trʌst],,v.相信;信任
167,167/1083,imagine,英[i'mædʒin],,v.想象;设想
168,168/1083,enjoy,英[in'dʒɒi],,v.欣赏;喜欢
169,169/1083,fix,英[fiks],,v.修理;安装
170,170/1083,require,英[ri'kwaiә],,v.需求;要求
171,171/1083,choose,英[tʃu:z],(chose;chosen),v.选择;挑选
172,172/1083,learn,英[lә:n],(learnt;learnt),v.学习;认识到
173,173/1083,question,英['kwestʃәn],,v.询问n.问题
174,174/1083,continue,英[kәn'tinju:],,v.继续;延续
175,175/1083,print,英[print],,v.印刷;出版
176,176/1083,expect,英[iks'pekt],,预料;期待;希望
177,177/1083,allow,英[ә'lau],,v.允许;认可
178,178/1083,add,英[æd],,v.增加;做加法
179,179/1083,serve,英[sә:v],,.服务;任职
180,180/1083,carry,英['kæri],,v.扛;运送;输送
181,181/1083,repeat,英[ri'pi:t],,重复;重做
182,182/1083,prepare,英[pri'pєә],,v.准备;筹备
183,183/1083,report,英[ri'pɒ:t],,n.&v.报道;报告
184,184/1083,score,英[skɒ:],,v.得分n.分数
185,185/1083,shout,英[ʃaut],,n.&v.喊叫;大声说
186,186/1083,plan,英[plæn],,n.&v.计划;打算
187,187/1083,knock,英[nɒk],,n.&v.敲;打
188,188/1083,cost,英[kɒst],(cost;cost),n.价钱;v.花费
189,189/1083,mind,英[maɪnd],,n.&v.思想;介意
190,190/1083,win,英[win],(won;won),n.&v;获胜;
191,191/1083,search,英[sә:tʃ],,n.&v.搜索;搜寻
192,192/1083,push,英[puʃ],,n.&v.推;按
193,193/1083,smile,英[smail],,n.&v.微笑;笑容
194,194/1083,hope,英[hәup],,n.&v.希望;期望
195,195/1083,shape,英[ʃeip],,n.形状v;使成型
196,196/1083,block,英[blɒk],,n.块;街区v.阻塞
197,197/1083,notice,英['nәutis],,n.通告;注意v.注意到
198,198/1083,laugh,英[lɑ:f],,n.&v.笑;嘲笑
199,199/1083,doubt,英[daut],,v.&n.怀疑
200,200/1083,influence,英['influәns],,n.&v.影响;感化
201,201/1083,promise,英['prɒmis],,n.&v.承诺;许诺
202,202/1083,stay,英[stei],,n.&v・停留;保持
203,203/1083,change,英[tʃeindʒ],,n.零钱v.改变
204,204/1083,cross,英[krɔs;krɔ:s],,n.十字架v.交叉
205,205/1083,interview,英['intәvju:],,n.&v.采访;会见
206,206/1083,hit,英[hit],(hit;hit),n.&v.碰撞;打击;击中
207,207/1083,copy,英['kɒpi],,n.复制品v.模仿;复制
208,208/1083,kiss,英[kis],,n.&v.吻;接吻
209,209/1083,waste,英[weist],,n.废物v.浪费
210,210/1083,fire,英['faiә],,n.火v.开火;燃烧;解雇
211,211/1083,mark,英[mɑ:k],,n.标记v.做记号;标明
212,212/1083,taste,英[teist],,n.味道v.品尝
213,213/1083,offer,英['ɒfә],,v.提供;提议n.录取通知书
214,214/1083,lock,英[lɒk],,n.锁V.锁上
215,215/1083,cause,英[kɒ:z],,n.原因V.导致;造成
216,216/1083,repair,英[ri'pєә],,n.&v.修理;修补
217,217/1083,store,英[stɒ:],,n.商店v.储存
218,218/1083,regret,英[ri'gret],,n.&v.遗憾;后悔:痛惜
219,219/1083,praise,英[preiz],,n.&v.赞扬;称赞
220,220/1083,cough,英[kɒf],,n.&v.咳嗽
221,221/1083,dream,英[dri:m],(dreamt;dreamt),n.&v.梦想;做梦
222,222/1083,will,英[wil],,v.aux.将会;愿意
223,223/1083,shall,英[ʃæl],,v.aux.将要;会
224,224/1083,may,英[mei],,v.aux.可以;也许
225,225/1083,might,英[mait],,v.aux.可能;也许
226,226/1083,would,英[wud],,v.aux.愿意;将
227,227/1083,should,英[ʃud],,v.aux.应该
228,228/1083,could,英[kud],,v.aux.能够;可能
229,229/1083,according,英[ә'kɒ:diŋ],,na.根据
230,230/1083,most,英[mәust],,a.&ad.最多n.大部分
231,231/1083,more,英[mɒ:],,a.&ad.较多的(地);更n.更多量
232,232/1083,necessary,英['nesisәri],,a.必需的;必要的
233,233/1083,impossible,英[im'pɒsәbl],,a.不可能的;做不到的
234,234/1083,local,英['lәukәl],,a.地方的;当地的;局部的
235,235/1083,mad,英[mæd],,a.发疯的;生气的
236,236/1083,fit,英[fit],,a.合适的v.适合;安装
237,237/1083,lively,英['laivli],,a.活泼的;充满生气的
238,238/1083,lazy,英['leizi],,a.懒惰的;慢吞吞的
239,239/1083,modem,英['mәudem],,a.现代的;时尚的
240,240/1083,magic,英['mædʒik],,n.魔术有魔力的
241,241/1083,lucky,英['lʌki],,a.幸运的的;侥幸的;吉祥的
242,242/1083,important,英[im'pɒ:tәnt],,a.重要的;重大的
243,243/1083,main,英[mein],,a.主要的
244,244/1083,low,英[lәu],,a.&ad.低的(地);矮的(地)
245,245/1083,worse,英[wә:s],,a.&ad.更坏的;更差的
246,246/1083,worst,英[wә:st],,a.&ad.最坏的:最差的
247,247/1083,second,英['sekәnd],,n.秒a.第二的
248,248/1083,quiet,英['kwaiәt],,a.安静的;平静的
249,249/1083,safe,英[seif],,a.安全的n.保险柜
250,250/1083,expensive,英[ik'spensiv],,a.昂贵的;花钱多的
251,251/1083,Australian,英[ɒ'streiljәn],,a.澳洲的;澳大利亚人的n.澳大利亚人
252,252/1083,northern,英['nɒ:ðәn],,a.北方的;北部的
253,253/1083,north,英[nɒ:θ],,n.北方a.北的;朝北的
254,254/1083,certain,英['sә:tәn],,a.毫无某疑些问的;肯定的pron.某些
255,255/1083,cheap,英[tʃi:p],,a;便宜的;廉价的
256,256/1083,different,英['difәrәnt],,a.不同的;差异的
257,257/1083,pale,英['pæli;'pei-],,a.苍白的;暗淡的;无力的
258,258/1083,wet,英[wet],,a.湿的;多雨的;潮湿的;
259,259/1083,noisy,英['nɒizi],,a-吵闹的;喧闹的
260,260/1083,successful,英[sәk'sesful],,a.成功的;有成就的
261,261/1083,honest,英['ɒnist],,a.诚实的;坦诚的
262,262/1083,ugly,英['ʌgli],,a.丑陋的;难看的
263,263/1083,born,英[bɒ:n],(bear的过去分词),a.天生的v.出生
264,264/1083,primary,英['praimәri],,a.主要的;初级的
265,265/1083,traditional,英[trә'diʃәnl],,a.传统的;惯例的
266,266/1083,wise,英[waiz]美[waiz],,a.聪明的;有见识的
267,267/1083,careless,英['kєәlis],,a.粗心的;漫不经心的
268,268/1083,large,英[lɑ:dʒ],,a.大的;规模大的
269,269/1083,loud,英[laud],,a.大声的;响亮的
270,270/1083,general,英['dʒenәrәl],,a.普遍的;通常的;综合的
271,271/1083,alone,英[ә'lәun],,a.单独的ad.独自地
272,272/1083,single,英['siŋgl],,a.单一的;单身的
273,273/1083,German,英['dʒә:mәn],,a.德国的;德国人的n.德国人
274,274/1083,underground,英['ʌndәgraund],,a.地下的n.地铁
275,275/1083,electronic,英[.ilek'trɒnik],,a.电子的;电子学的
276,276/1083,missing,英['misiŋ],,a.丢失的;失踪的
277,277/1083,east,英[i:st],,n.东方a.东方的ad.在东方
278,278/1083,eastern,英['i:stәn],,a.东方的;东部的
279,279/1083,harmful,英['hɑ:mful],,a.有害的;损害的
280,280/1083,Russian,英['rʌʃәn],,a.俄国人的n.俄国人;俄语
281,281/1083,both,英[bәuθ],,pron.两者a.两者都
282,282/1083,African,英['æfrikәn],,a.非洲的;非洲人的n.非洲人
283,283/1083,pink,英[piŋk],,n.粉红色a.粉红色的
284,284/1083,crazy,英['kreizi],,a.疯狂的;着迷的
285,285/1083,rich,英[ri:tʃ],,a.富裕的;肥沃的
286,286/1083,glad,英[glæd],,a.高兴的;乐意的
287,287/1083,personal,英['pә:snl],,a.个人的;私人的
288,288/1083,each,英[i:tʃ],,pron.每个a.各自的
289,289/1083,helpful,英['helpful],,a.有帮助的;有益的
290,290/1083,public,英['pʌblik],,n.公众a.公共的
291,291/1083,fair,英[fєә],,a.公平的ad.公平地
292,292/1083,lonely,英['lәunli],,a.孤独的;偏僻的
293,293/1083,ancient,英['einʃәnt],,a.古代的;古老的n.古代人
294,294/1083,smooth,英[smu:ð],,a.光滑的;平坦的;顺利的
295,295/1083,national,英['næʃәnәl],,a.国家的;民族的
296,296/1083,shy,英[ʃai],,a.害羞的;胆怯的
297,297/1083,few,英[fju:],,pron.极少a.很少的;几乎没有的
298,298/1083,thick,英[θik],,a.厚的;浓的
299,299/1083,grey,英[grei],,a.灰色的n.灰色
300,300/1083,alive,英[ә'laiv],,a.活着的;有生气的
301,301/1083,active,英['æktiv],,a.积极的;活跃的;有效的
302,302/1083,basic,英['beisik],,a.基本的;首要的
303,303/1083,fantastic,英[fæn'tæstik],,a.极好的;异想天开的;虚幻的
304,304/1083,tiny,英['taini],,a.极小的;微小的
305,305/1083,Canadian,英[kә'neidiәn],,a.加拿大的;加拿大人的n.加拿大人
306,306/1083,simple,英['simpl],,a.简单的;单纯的
307,307/1083,better,英['betә],,a.较好的ad.更好地
308,308/1083,same,英[seim],,n.同样a.同样的;相同的
309,309/1083,festival,英['festәvәl],,n.节日a.节日的
310,310/1083,nervous,英['nә:vәs],,a.神经的;紧张不安的
311,311/1083,used,英['ju:st],,a.旧的;二手的
312,312/1083,huge,英[hju:dʒ],,a.巨大的;极大的
313,313/1083,possible,英['pɒsәbl],,a.可能的;合理的
314,314/1083,terrible,英['terәbl],,a.可怕的;糟糕的
315,315/1083,thirsty,英['θә:sti],,a.口渴的;渴求的
316,316/1083,empty,英['empti],,a没人的;空着的;空的
317,317/1083,spare,英[spєә],,a.空闲的;多余的v.宽恕;腾出
318,318/1083,quick,英[kwik],,a.快的;快速的;敏捷的
319,319/1083,rapid,英['ræpid],,a.迅速的;飞速的
320,320/1083,wide,英[waid],,宽阔的;广泛的
321,321/1083,hard,英[hɑ:d],,a.困难的;硬的ad.努力地
322,322/1083,neither,英['naiðә],,两者都不;也不
323,323/1083,smart,英[smɑ:t],,a.聪敏的;灵巧的
324,324/1083,exciting,英[ik'saitiŋ],,a.令人兴奋的;令人激动的
325,325/1083,popular,英['pɒpjulә],(pop),a;流行的;受欢迎的;大众的
326,326/1083,deaf,英[def],,聋的;不愿听的
327,327/1083,full,英[ful],,a.满的;充满的ad.完全地
328,328/1083,daily,英['deili],,a.每日的;日常的n.日报
329,329/1083,lovely,英['lʌvli],,a.美好的;可爱的
330,330/1083,delicious,英[di'liʃәs],,a.美味的;可口的
331,331/1083,bright,英[brait],,明亮的;闪光的;聪明的
332,332/1083,southern,英['sʌðәn],,南部的;南方的
333,333/1083,south,英[sauθ],,n.南方a.南方的ad.在南方
334,334/1083,able,英['eibl],(be able to do),a.能够的
335,335/1083,European,英[.juәrә'pi:әn],,a.欧洲的;欧洲人的n.欧洲人
336,336/1083,fat,英[fæt],,胖的n.脂肪
337,337/1083,pretty,英['priti],,a.漂亮的;可爱的ad.相当地
338,338/1083,cute,英[kju:t],,漂亮的;娇小可爱的
339,339/1083,poor,英[puә. pɒ:],,a.贫穷的;可怜的;差的
340,340/1083,common,英['kɒmәn],,a.普遍的;普通的;公共的
341,341/1083,strange,英[streindʒ],,奇怪的;陌生的
342,342/1083,proper,英['prɒpә],,a.正确的;恰当的;像样的
343,343/1083,front,英[frʌnt],,n.前面a.前面的;正面的
344,344/1083,clear,英[kliә],,清晰的;清楚的;明确的
345,345/1083,absent,英['æbsәnt],,缺席的;缺少的v.缺席
346,346/1083,sure,英[ʃuә],,确信ad.的确
347,347/1083,everyday,英['evri'dei],,日常的;普通的
348,348/1083,soft,英[sɒft],,a.软的;柔和的
349,349/1083,weak,英[wi:k],,a.虚弱的;不牢固的;软弱的
350,350/1083,silly,英['sili],,a.傻的;愚蠢的;可笑的
351,351/1083,social,英['sәuʃәl],,a.社会的;社交的
352,352/1083,deep,英[di:p],,a.深的;严重的n.深处
353,353/1083,blind,英[blaind],,a.瞎的;盲目的
354,354/1083,comfortable,英['kʌmfәtәbl],,舒服的;安逸的
355,355/1083,double,英['dʌb(ə)l],,a.双的;两倍的
356,356/1083,asleep,英[ә'sli:p],,a.睡着的;ad.熟睡地
357,357/1083,private,英['praivit],,私人的;私有的
358,358/1083,dead,英[ded],,a.死亡的n.死者
359,359/1083,special,英['speʃәl],,a.特殊的;专门的
360,360/1083,usual,英['ju:ʒuәl],,a.通常的;平常的
361,361/1083,sudden,英['sʌdn],,a.突然的;意外的
362,362/1083,foreign,英['fɒ:rin],,a.外国的;外交的
363,363/1083,perfect,英['pә:fikt],,a.完美的;理想的
364,364/1083,complete,英[kәm'pli:t],,a.完整的;L!完成的v.完成
365,365/1083,dangerous,英['deindʒәrәs],,a.危险的;有危害的
366,366/1083,only,英['әunli],,a.惟一的ad.仅仅
367,367/1083,boring,英['bɒ:riŋ],,a.无聊的;单调的
368,368/1083,bored,英［bo:d],,a.无聊的;烦人的
369,369/1083,silent,英['sailәnt],,a.安静的;寂静的;沉默的
370,370/1083,west,英[west],,n.西部a.西的
371,371/1083,western,英['westәn],,ad.在西方a.西方的;西部的
372,372/1083,rainy,英['reini],,a.下雨的;多雨的
373,373/1083,similar,英['similә],,a.相似的;近似的
374,374/1083,OK,英['әu'kei],,a.&ad.对;不错
375,375/1083,sleepy,英['sli:pi],,a.想睡觉的;困倦的
376,376/1083,fresh,英[freʃ],,a.新鲜的;没有经验的
377,377/1083,awake,英[ә'weik],(awoke;awoken),a.醒着的v.唤醒
378,378/1083,excited,英[ik'saitid],,a.兴奋的;活跃的
379,379/1083,snowy,英['snәui],,a.下雪的;雪白的
380,380/1083,strict,英[strikt],,a.严格的;严厉的
381,381/1083,serious,英['siәriәs],,a.严肃的;认真的
382,382/1083,international,英[.intә'næʃәnәl],,n.国际a.国际的;国际关系的
383,383/1083,wild,英[waild],,a.野性的;荒凉的;野蛮的
384,384/1083,medical,英['medikl],,a.医学的;医疗的
385,385/1083,Indian,英['indiәn],,a.印度的;印第安人的n.印度人
386,386/1083,British,英['britiʃ],,a.英国的n.英国人;英国;英语
387,387/1083,handsome,英['hænsәm],,a.英俊的;帅气的;漂亮的
388,388/1083,dark,英[dɑ:k],,n.黑暗a.黑暗的
389,389/1083,brave,英[breiv],,a.勇敢的;大胆的
390,390/1083,humorous,英['hju:mәrәs],,a.幽默的;滑稽的
391,391/1083,friendly,英['frendli],,a.友好的;亲密的
392,392/1083,worth,英[wә:θ],,值得的a.有……的价值;
393,393/1083,sick,英[sik],,a.生病的;恶心的;厌恶的
394,394/1083,valuable,英['væljuәbl],,a.有价值的;贵重的
395,395/1083,polite,英[pә'lait],,a.有礼貌的;客气的
396,396/1083,funny,英['fʌni],,a.有趣的;搞笑的
397,397/1083,useful,英['ju:sful],,a.有用的;有益的
398,398/1083,another,英[ә'nʌðә],,a.另一个的pron.另一个
399,399/1083,stupid,英['stju:pid],,a.愚蠢的;笨的
400,400/1083,careful,英['kєәful],,a.仔细的;小心的
401,401/1083,online,英［Dn'lain],,a.在线的;联网的ad.在线地
402,402/1083,awful,英［'ɒ:ful],,a.糟糕的;可怕的
403,403/1083,TRUE,英[tru:],,a.真的;真正的;确切的
404,404/1083,real,英['riәl],,a.真实的;实际的
405,405/1083,whole,英[hәul],,a.整个的;完全的n.整个事物
406,406/1083,tidy,英['taidi],,a.整齐的;整洁的v.使整洁
407,407/1083,correct,英[kә'rekt],,a.正确的;恰当的
408,408/1083,straight,英[streit],,v.改正a.直的;正直的ad.坦率地
409,409/1083,direct,英[di'rekt],,a.&ad.直接的（地）v.管理;指导
410,410/1083,central,英['sentrәl],,a.中心的;中央的
411,411/1083,famous,英['feimәs],,a.著名的;知名的
412,412/1083,ready,英['redi],,a.准备好的;乐意的
413,413/1083,excellent,英['ekslәnt],,a.优秀的;极好的;卓越的
414,414/1083,proud,英[praud],,a.自豪的;骄傲的
415,415/1083,own,英[әun],,a.自己的v.拥有
416,416/1083,natural,英['nætʃәrәl],,a.自然的;天生的
417,417/1083,free,英[fri:],,a.自由的;免费的
418,418/1083,total,英['tәutl],,a.总数的n.合计v.合计为
419,419/1083,sweet,英[swi:t],,n.甜食a.甜的;可爱的
420,420/1083,best,英[best],,a.最好的ad.最好地
421,421/1083,last,英[lɑ:st],,a.&ad.最后的（地）n.最后V.持续
422,422/1083,just,英[dʒʌst],,ad.刚才;仅仅a.公正的
423,423/1083,nearly,英['niәli],,ad.几乎;差不多
424,424/1083,less,英[les],,ad.较少的;更少的
425,425/1083,maybe,英['meibi:],,ad.大概;也许;可能
426,426/1083,however,英[hau'evә],,ad.然而;无论如何conj.不管怎样
427,427/1083,finally,英['fainәli],,ad.最终;最后
428,428/1083,tonight,英[tә'nait],,ad.&n.今晚;今夜
429,429/1083,o'clock,英［əˈklɔk］,,ad....点钟
430,430/1083,soon,英[su:n],,ad.不久;一会儿
431,431/1083,out,英[ajt],,ad.往外;室外;离开
432,432/1083,since,英[sins],,ad.自从...conj.从...以来prep.从...
433,433/1083,around,英[ә'raund],,ad.大约;在周围prep.绕
434,434/1083,instead,英[in'sted],,ad.相反;代替
435,435/1083,everywhere,英['evrihwєә],,ad.到处;处处
436,436/1083,abroad,英[ә'brɒ:d],,ad.国外n.海外
437,437/1083,aloud,英[ә'laud],,ad.高声;大声
438,438/1083,past,英［pɑ:st],,ad.过去的n.过去prep.经过
439,439/1083,yet,英[jet],,ad.还;仍然
440,440/1083,probably,英['prɒbәbli],,ad.大概;也许;很可能
441,441/1083,seldom,英['seldәm],,ad.很少;极少
442,442/1083,later,英['leitә],,ad.后来;随后adj.后来的
443,443/1083,almost,英['ɒ:lmәust],,ad.几乎;差不多
444,444/1083,hardly,英['hɑ:dli],,ad.几乎不;简直不
445,445/1083,exactly,英[i^'zæktli],,ad.精确地;确切地
446,446/1083,never,英['nevә],,ad.决不;从来没有
